Date,Comment,tokens_stopword,clean_text
2026-03-21T04:46:22Z,"['cuman', 'nazwa', 'yang', 'berbeda', 'dengan', 'yang', 'lain', 'nya', 'bravo']","['cuman', 'nazwa', 'berbeda', 'bravo']",cuman nazwa berbeda bravo
2026-03-21T04:43:45Z,"['dulu', 'saya', 'pilih', 'prabowo', 'tapi', 'sory', 'kapok', 'punya', 'persiden', 'seperti', 'itu']","['dulu', 'pilih', 'prabowo', 'sory', 'kapok', 'punya', 'persiden']",dulu pilih prabowo sory kapok punya persiden
2026-03-21T04:43:27Z,"['pak', 'prabowo', 'paling', 'tegang', 'saat', 'berhadapan', 'dengan', 'mbak', 'nana', 'antara', 'mereka', 'semua', 'mbak', 'nana', 'memang', 'yang', 'paling', 'berani', 'lanjutkan', 'mbak', 'nana']","['prabowo', 'paling', 'tegang', 'berhadapan', 'nana', 'semua', 'nana', 'memang', 'paling', 'berani', 'lanjutkan', 'nana']",prabowo paling tegang berhadapan nana semua nana memang paling berani lanjutkan nana
2026-03-21T04:41:33Z,"['moderatornya', 'saja', 'sudah', 'membuat', 'lebih', 'banyak', 'pertanyaan', 'wkwkwkwk', 'rezim', 'omon', 'omon']","['moderatornya', 'membuat', 'lebih', 'banyak', 'pertanyaan', 'wkwkwkwk', 'rezim', 'omon', 'omon']",moderatornya membuat lebih banyak pertanyaan wkwkwkwk rezim omon omon
2026-03-21T04:41:03Z,"['mba', 'nadjwa', 'klau', 'jaman', 'soeharto', 'anda', 'sudah', 'dilenyapkan', 'terlalu', 'bnyak', 'nanya', 'yang', 'tidak', 'tidak']","['mba', 'nadjwa', 'klau', 'jaman', 'soeharto', 'dilenyapkan', 'terlalu', 'bnyak', 'nanya', 'tidak', 'tidak']",mba nadjwa klau jaman soeharto dilenyapkan terlalu bnyak nanya tidak tidak
2026-03-21T04:39:38Z,"['semoga', 'kebijakan', 'yang', 'diambil', 'presiden', 'memberikan', 'manfaat', 'yang', 'sama', 'bagi', 'seluruh', 'warga', 'negara']","['semoga', 'kebijakan', 'diambil', 'presiden', 'memberikan', 'manfaat', 'sama', 'seluruh', 'warga', 'negara']",semoga kebijakan diambil presiden memberikan manfaat sama seluruh warga negara
2026-03-21T04:38:01Z,"['meja', 'bundar', 'skenario']","['meja', 'bundar', 'skenario']",meja bundar skenario
2026-03-21T04:37:12Z,"['itu', 'yang', 'diskusi', 'orang', 'orang', 'kota', 'ini', 'dengar', 'pak', 'usul', 'nya', 'perkuat', 'ketahanan', 'pangan', 'pertanian', 'peternakan', 'intelektual', 'pertanian', 'rakyat', 'makmur', 'ndak', 'lapar', 'anak', 'muda', 'cenderung', 'mau', 'sekolah', 'tapi', 'ndak', 'msu', 'kerja', 'keras', 'niru', 'orang', 'kota', 'jangan', 'remehkan', 'orang', 'desa', 'pak']","['diskusi', 'orang', 'orang', 'kota', 'dengar', 'usul', 'perkuat', 'ketahanan', 'pangan', 'pertanian', 'peternakan', 'intelektual', 'pertanian', 'rakyat', 'makmur', 'ndak', 'lapar', 'anak', 'muda', 'cenderung', 'mau', 'sekolah', 'ndak', 'msu', 'kerja', 'keras', 'niru', 'orang', 'kota', 'jangan', 'remehkan', 'orang', 'desa']",diskusi orang orang kota dengar usul perkuat ketahanan pangan pertanian peternakan intelektual pertanian rakyat makmur ndak lapar anak muda cenderung mau sekolah ndak msu kerja keras niru orang kota jangan remehkan orang desa
2026-03-21T04:36:40Z,"['akhirnya', 'aku', 'paham', 'kalau', 'memberi', 'itu', 'berdampak', 'hangat', 'pada', 'kalbu', 'seperti', 'ada', 'perasaan', 'senang', 'haru', 'yang', 'bercmpur', 'mbak', 'nana', 'makasih', 'banyak', 'tontonan', 'ini', 'sangat', 'menarik', 'respect', 'buat', 'mbak', 'nana']","['akhirnya', 'aku', 'paham', 'kalau', 'memberi', 'berdampak', 'hangat', 'kalbu', 'perasaan', 'senang', 'haru', 'bercmpur', 'nana', 'makasih', 'banyak', 'tontonan', 'sangat', 'menarik', 'respect', 'buat', 'nana']",akhirnya aku paham kalau memberi berdampak hangat kalbu perasaan senang haru bercmpur nana makasih banyak tontonan sangat menarik respect buat nana
2026-03-21T04:35:46Z,"['dialog', 'seperti', 'ini', 'sangat', 'baik', 'masyarakat', 'bisa', 'mengetahui', 'perkembangan', 'kinerja', 'pemerintah', 'dan', 'bisa', 'mempertanyakan', 'secara', 'elok', 'segala', 'hal', 'yang', 'mengganjal']","['dialog', 'sangat', 'baik', 'masyarakat', 'mengetahui', 'perkembangan', 'kinerja', 'pemerintah', 'mempertanyakan', 'elok', 'segala', 'mengganjal']",dialog sangat baik masyarakat mengetahui perkembangan kinerja pemerintah mempertanyakan elok segala mengganjal
